position,coach_name,wins,draws,losses,td,ctd,dtd,cas,ccas,dcas,concesions,points
1,Orioncillo,17,7,5,46,21,25,112,51,61,0,5105
2,Arzowane,18,8,3,52,25,27,56,68,-12,0,3765
3,SERGUL,16,4,9,33,14,19,50,40,10,0,3420
4,Aludius,17,7,5,44,25,19,34,83,-49,0,2830
5,Crupi_222,16,9,4,42,25,17,44,60,-16,0,2650
6,CarlosTT,13,7,5,35,23,12,46,63,-17,0,2010
7,Noxer,13,6,10,34,30,4,56,59,-3,0,1940
8,hirumazeo,13,6,6,30,17,13,61,41,20,1,1770
9,Andriy,12,6,6,35,25,10,39,68,-29,0,1740
10,patan,10,5,10,33,32,1,40,66,-26,0,1720
11,Atreyuvte,15,6,8,35,24,11,63,67,-4,0,1550
12,Zogsel,11,6,8,22,17,5,42,53,-11,0,1410
13,Azaghal_es,11,9,9,36,30,6,83,43,40,0,1380
14,Frikipe,10,3,8,23,21,2,34,60,-26,0,1130
15,Grom el Panzudo,4,5,4,13,13,0,18,30,-12,0,1000
16,-CHamBe-,12,6,11,28,29,-1,85,72,13,0,920
17,Verde,6,4,7,18,17,1,23,34,-11,0,710
18,ZarHugh,7,10,8,26,24,2,49,48,1,0,690
19,MIKELEKILLER,4,2,3,10,11,-1,5,22,-17,0,650
20,johlae,5,3,4,17,15,2,14,27,-13,0,630
21,Axaxin,8,7,10,34,31,3,43,61,-18,0,630
22,MEMEN,8,9,12,23,36,-13,68,77,-9,0,600
23,Shirokov,6,3,4,16,12,4,16,34,-18,0,540
24,Mongloom,3,1,1,8,4,4,10,6,4,0,460
25,Normidon,7,1,9,23,24,-1,28,40,-12,0,460
26,DMPumuki,2,2,0,6,1,5,5,13,-8,0,450
27,xKOALAx,3,2,3,7,8,-1,11,24,-13,0,440
28,mising,5,6,2,19,21,-2,41,23,18,0,370
29,phiphe,4,1,4,10,13,-3,16,15,1,0,370
30,Gabillas,6,10,9,21,24,-3,47,64,-17,0,370
31,Ever,7,3,7,14,14,0,39,23,16,2,320
32,Alfrodibor,2,1,1,6,3,3,6,6,0,0,300
33,Spynkie,7,4,18,22,42,-20,44,61,-17,0,290
34,José Lobillo,3,5,13,16,31,-15,38,52,-14,0,270
35,Cazalilla,2,4,2,9,9,0,14,19,-5,0,240
36,Khentaki,4,4,17,22,50,-28,36,44,-8,0,240
37,handeleins,4,5,3,13,13,0,16,25,-9,0,230
38,Thormanue,4,0,5,11,17,-6,15,30,-15,0,200
39,Sillonball,1,2,1,4,4,0,7,7,0,0,160
40,Neku Beat,4,1,8,9,15,-6,20,17,3,0,140
41,Arkhanis,2,1,6,11,13,-2,15,12,3,0,140
42,SirGeremain,2,2,1,5,4,1,13,10,3,0,120
43,sherman_89,4,4,9,16,27,-11,38,42,-4,0,100
44,Wailan,3,3,3,9,8,1,15,35,-20,0,100
45,Wallyyy,4,7,10,16,24,-8,26,58,-32,0,90
46,Uriens black,3,2,4,13,9,4,17,20,-3,0,70
47,Drainor,4,2,7,12,16,-4,28,27,1,0,50
48,DeivySP,4,2,7,12,20,-8,21,39,-18,0,50
49,folldelturo,2,1,6,9,14,-5,8,28,-20,0,30
50,luque,1,0,3,4,7,-3,5,6,-1,0,30
51,Tharsis,1,0,3,3,4,-1,10,13,-3,0,20
52,Egronimus,1,2,1,3,4,-1,8,7,1,0,10
53,Elmonotiradados,4,1,8,9,16,-7,17,38,-21,0,10
54,Murdraer,4,2,7,10,20,-10,10,28,-18,0,0
55,Kezrael,0,3,1,3,5,-2,12,3,9,0,0
56,Dendrith,0,2,2,3,6,-3,3,12,-9,0,0
57,Caragorn,1,2,5,5,11,-6,7,13,-6,0,0
58,Jotun_7,1,1,2,3,5,-2,4,18,-14,0,0
59,GuaridaDeKazan,1,0,3,6,6,0,10,4,6,0,0
60,Juanmaab,1,0,3,3,8,-5,1,14,-13,0,0
61,hunterjos,1,1,2,6,7,-1,8,7,1,0,0
62,JBelzunce,2,3,4,9,12,-3,14,28,-14,0,0
63,Nachobill,1,2,2,6,8,-2,7,17,-10,0,0
64,mapache515,1,1,3,6,9,-3,6,11,-5,0,0
65,gr4n0t4,1,0,4,6,9,-3,4,15,-11,0,0
66,Jsmartosarana,0,0,5,1,6,-5,0,8,-8,0,0
